Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_14_117,VDD,Metal1,62.1600,71.8200,1.199909
FILLER_14_115,VDD,Metal1,61.4400,71.8200,1.199909
FILLER_14_108,VDD,Metal1,59.2890,71.2210,1.199909
FILLER_14_101,VDD,Metal1,55.9290,71.2210,1.199909
FILLER_14_90,VDD,Metal1,49.4400,71.8200,1.199916
FILLER_14_85,VDD,Metal1,46.8000,71.8200,1.199917
FILLER_14_81,VDD,Metal1,45.6110,71.2230,1.199920
FILLER_14_74,VDD,Metal1,42.9690,71.2210,1.199921
FILLER_14_67,VDD,Metal1,39.6090,71.2210,1.199922
FILLER_14_60,VDD,Metal1,36.2490,71.2210,1.199924
FILLER_14_46,VDD,Metal1,28.0800,71.8200,1.199948
FILLER_14_32,VDD,Metal1,21.3600,71.8200,1.199985
FILLER_14_28,VDD,Metal1,20.1710,71.2230,1.199993
FILLER_14_21,VDD,Metal1,17.5290,71.2210,1.199993
FILLER_14_14,VDD,Metal1,14.1690,71.2210,1.199993
FILLER_14_7,VDD,Metal1,10.8090,71.2210,1.199993
FILLER_14_0,VDD,Metal1,7.4490,71.2210,1.199993
FILLER_13_117,VDD,Metal1,62.1600,64.2600,1.199869
FILLER_13_115,VDD,Metal1,61.4400,64.2600,1.199869
FILLER_13_108,VDD,Metal1,59.2890,64.8580,1.199869
FILLER_13_71,VDD,Metal1,40.0800,64.2600,1.199881
FILLER_13_39,VDD,Metal1,24.7200,64.2600,1.199899
FILLER_13_11,VDD,Metal1,11.2800,64.2600,1.199899
FILLER_13_4,VDD,Metal1,9.3690,64.8580,1.199899
FILLER_12_85,VDD,Metal1,47.5310,63.6630,1.199876
FILLER_12_21,VDD,Metal1,16.3200,64.2600,1.199899
FILLER_12_16,VDD,Metal1,13.6800,64.2600,1.199899
FILLER_12_14,VDD,Metal1,12.9600,64.2600,1.199899
FILLER_12_7,VDD,Metal1,10.8090,63.6610,1.199899
FILLER_12_0,VDD,Metal1,7.4490,63.6610,1.199899
FILLER_11_89,VDD,Metal1,48.9600,56.7000,1.196567
FILLER_11_82,VDD,Metal1,46.8090,57.2980,1.196568
FILLER_11_71,VDD,Metal1,40.0800,56.7000,1.196612
FILLER_11_67,VDD,Metal1,38.8910,57.2960,1.196612
FILLER_11_53,VDD,Metal1,32.1710,57.2960,1.196638
FILLER_11_2,VDD,Metal1,6.9600,56.7000,1.199820
FILLER_11_0,VDD,Metal1,6.2400,56.7000,1.199820
FILLER_10_116,VDD,Metal1,61.9200,56.7000,1.196562
FILLER_10_109,VDD,Metal1,59.7690,56.1010,1.196562
FILLER_10_98,VDD,Metal1,53.2800,56.7000,1.196562
FILLER_10_76,VDD,Metal1,42.4800,56.7000,1.196591
FILLER_10_72,VDD,Metal1,41.2910,56.1030,1.196603
FILLER_10_65,VDD,Metal1,38.6490,56.1010,1.196612
FILLER_10_60,VDD,Metal1,34.8000,56.7000,1.196619
FILLER_10_58,VDD,Metal1,34.0800,56.7000,1.196637
FILLER_10_51,VDD,Metal1,31.9290,56.1010,1.196638
FILLER_10_19,VDD,Metal1,15.1200,56.7000,1.199821
FILLER_10_12,VDD,Metal1,13.2090,56.1010,1.199821
FILLER_10_4,VDD,Metal1,8.6510,56.1030,1.199821
FILLER_9_89,VDD,Metal1,48.9600,49.1400,1.199676
FILLER_9_66,VDD,Metal1,37.9200,49.1400,1.199798
FILLER_9_62,VDD,Metal1,36.4910,49.7360,1.199800
FILLER_9_38,VDD,Metal1,24.9710,49.7360,1.199891
FILLER_9_0,VDD,Metal1,6.2400,49.1400,1.199969
FILLER_8_109,VDD,Metal1,58.3200,49.1400,1.199658
FILLER_8_98,VDD,Metal1,53.2800,49.1400,1.199658
FILLER_8_77,VDD,Metal1,43.2000,49.1400,1.199776
FILLER_8_65,VDD,Metal1,38.6490,48.5410,1.199798
FILLER_8_58,VDD,Metal1,35.2890,48.5410,1.199800
FILLER_8_49,VDD,Metal1,30.2510,48.5430,1.199843
FILLER_8_34,VDD,Metal1,22.3200,49.1400,1.199910
FILLER_8_11,VDD,Metal1,12.7290,48.5410,1.199969
FILLER_8_6,VDD,Metal1,8.8800,49.1400,1.199969
FILLER_8_4,VDD,Metal1,8.1600,49.1400,1.199969
FILLER_7_117,VDD,Metal1,62.1600,41.5800,1.199322
FILLER_7_113,VDD,Metal1,60.9710,42.1760,1.199322
FILLER_7_106,VDD,Metal1,58.3290,42.1780,1.199322
FILLER_7_90,VDD,Metal1,49.4400,41.5800,1.199334
FILLER_7_86,VDD,Metal1,48.0110,42.1760,1.199341
FILLER_7_60,VDD,Metal1,34.8000,41.5800,1.199347
FILLER_7_58,VDD,Metal1,34.0800,41.5800,1.199396
FILLER_7_49,VDD,Metal1,30.2510,42.1760,1.199533
FILLER_7_40,VDD,Metal1,25.9310,42.1760,1.199641
FILLER_7_23,VDD,Metal1,17.2800,41.5800,1.199883
FILLER_7_16,VDD,Metal1,15.1290,42.1780,1.199883
FILLER_7_6,VDD,Metal1,8.8800,41.5800,1.199883
FILLER_7_4,VDD,Metal1,8.1600,41.5800,1.199883
FILLER_6_110,VDD,Metal1,59.5310,40.9830,1.199322
FILLER_6_99,VDD,Metal1,53.7600,41.5800,1.199324
FILLER_6_79,VDD,Metal1,43.9200,41.5800,1.199342
FILLER_6_77,VDD,Metal1,43.2000,41.5800,1.199342
FILLER_6_70,VDD,Metal1,39.8400,41.5800,1.199342
FILLER_6_59,VDD,Metal1,35.7690,40.9810,1.199347
FILLER_6_52,VDD,Metal1,31.2000,41.5800,1.199471
FILLER_6_48,VDD,Metal1,29.7710,40.9830,1.199533
FILLER_6_0,VDD,Metal1,6.2400,41.5800,1.199883
FILLER_5_90,VDD,Metal1,49.2000,34.0200,1.199605
FILLER_5_88,VDD,Metal1,48.4800,34.0200,1.199605
FILLER_5_78,VDD,Metal1,43.4400,34.0200,1.199791
FILLER_5_56,VDD,Metal1,32.8800,34.0200,1.199861
FILLER_5_54,VDD,Metal1,32.1600,34.0200,1.199861
FILLER_5_30,VDD,Metal1,20.4000,34.0200,1.199942
FILLER_5_18,VDD,Metal1,14.8800,34.0200,1.199942
FILLER_5_11,VDD,Metal1,12.7290,34.6180,1.199942
FILLER_5_6,VDD,Metal1,8.8800,34.0200,1.199942
FILLER_5_4,VDD,Metal1,8.1600,34.0200,1.199942
FILLER_4_117,VDD,Metal1,62.1600,34.0200,1.199605
FILLER_4_75,VDD,Metal1,42.7310,33.4230,1.199791
FILLER_4_68,VDD,Metal1,40.0890,33.4210,1.199800
