Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,106
design__inferred_latch__count,0
design__instance__count,263
design__instance__area,3211.49
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.00020307805971242487
power__switching__total,0.00003744758214452304
power__leakage__total,8.011120655737614E-8
power__total,0.00024060574651230127
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.26204106293199475
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.25
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.20507252032513104
timing__setup__ws__corner:nom_fast_1p32V_m40C,5.097301391919952
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.205073
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,Infinity
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,0
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.2712422863089846
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.25
timing__hold__ws__corner:nom_slow_1p08V_125C,0.8368854734973659
timing__setup__ws__corner:nom_slow_1p08V_125C,4.1694915367141325
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.836885
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,Infinity
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,0
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.26552225059088846
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.25
timing__hold__ws__corner:nom_typ_1p20V_25C,0.43046978311459533
timing__setup__ws__corner:nom_typ_1p20V_25C,4.755414863155571
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.430470
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,Infinity
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.26204106293199475
clock__skew__worst_setup,0.25
timing__hold__ws,0.20507252032513104
timing__setup__ws,4.1694915367141325
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.205073
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 68.54 87.26
design__core__bbox,5.76 15.12 62.4 71.82
design__io,13
design__die__area,5980.8
design__core__area,3211.49
design__instance__count__stdcell,118
design__instance__area__stdcell,2222.64
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.69209
design__instance__utilization__stdcell,0.69209
design__rows,15
design__rows:CoreSite,15
design__sites,1770
design__sites:CoreSite,1770
design__instance__count__class:sequential_cell,16
design__instance__area__class:sequential_cell,783.821
design__instance__count__class:multi_input_combinational_cell,66
design__instance__area__class:multi_input_combinational_cell,841.882
flow__warnings__count,1
flow__errors__count,0
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
floorplan__design__io,11
design__io__hpwl,509257
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,146.109
design__instance__displacement__mean,1.238
design__instance__displacement__max,9.518
route__wirelength__estimated,2134.13
design__violations,0
design__instance__count__class:timing_repair_buffer,31
design__instance__area__class:timing_repair_buffer,370.138
design__instance__count__class:clock_buffer,5
design__instance__area__class:clock_buffer,226.8
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,16
global_route__vias,719
global_route__wirelength,3988
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,127
route__net__special,2
route__drc_errors__iter:0,25
route__wirelength__iter:0,2325
route__drc_errors__iter:1,1
route__wirelength__iter:1,2284
route__drc_errors__iter:2,1
route__wirelength__iter:2,2284
route__drc_errors__iter:3,0
route__wirelength__iter:3,2284
route__drc_errors,0
route__wirelength,2284
route__vias,638
route__vias__singlecut,638
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,1
design__critical_disconnected_pin__count,0
route__wirelength__max,113.795
design__instance__count__class:fill_cell,145
design__instance__area__class:fill_cell,988.848
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,1
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,1
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,1
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,1
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.19541
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.19938
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.00458948
