Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_14_117,VSS,Metal1,62.1600,68.0400,0.000106
FILLER_14_115,VSS,Metal1,61.4400,68.0400,0.000106
FILLER_14_108,VSS,Metal1,59.2860,68.5000,0.000106
FILLER_14_101,VSS,Metal1,55.9260,68.5000,0.000106
FILLER_14_90,VSS,Metal1,49.4400,68.0400,0.000106
FILLER_14_85,VSS,Metal1,46.8000,68.0400,0.000104
FILLER_14_81,VSS,Metal1,45.5880,68.4160,0.000104
FILLER_14_74,VSS,Metal1,42.9660,68.5000,0.000088
FILLER_14_67,VSS,Metal1,39.6060,68.5000,0.000072
FILLER_14_60,VSS,Metal1,36.2460,68.5000,0.000053
FILLER_14_46,VSS,Metal1,28.0800,68.0400,0.000039
FILLER_14_32,VSS,Metal1,21.3600,68.0400,0.000054
FILLER_14_28,VSS,Metal1,20.1480,68.4160,0.000054
FILLER_14_21,VSS,Metal1,17.5260,68.5000,0.000054
FILLER_14_14,VSS,Metal1,14.1660,68.5000,0.000054
FILLER_14_7,VSS,Metal1,10.8060,68.5000,0.000066
FILLER_14_0,VSS,Metal1,7.4460,68.5000,0.000066
FILLER_13_117,VSS,Metal1,62.1600,68.0400,0.000106
FILLER_13_115,VSS,Metal1,61.4400,68.0400,0.000106
FILLER_13_108,VSS,Metal1,59.2860,67.5790,0.000106
FILLER_13_71,VSS,Metal1,40.0800,68.0400,0.000072
FILLER_13_39,VSS,Metal1,24.7200,68.0400,0.000037
FILLER_13_11,VSS,Metal1,11.2800,68.0400,0.000066
FILLER_13_4,VSS,Metal1,9.3660,67.5790,0.000066
FILLER_12_85,VSS,Metal1,47.5080,60.8560,0.000734
FILLER_12_21,VSS,Metal1,16.3200,60.4800,0.000097
FILLER_12_16,VSS,Metal1,13.6800,60.4800,0.000097
FILLER_12_14,VSS,Metal1,12.9600,60.4800,0.000097
FILLER_12_7,VSS,Metal1,10.8060,60.9400,0.000097
FILLER_12_0,VSS,Metal1,7.4460,60.9400,0.000097
FILLER_11_89,VSS,Metal1,48.9600,60.4800,0.001080
