time	V(output)	V(n001)	V(n002)	V(n003)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.953125022824409e-10	3.282360e-02	9.765625e-02	0.000000e+00	0.000000e+00
2.449693286922027e-10	4.127624e-02	1.224847e-01	0.000000e+00	0.000000e+00
3.442829815117263e-10	5.834248e-02	1.721415e-01	0.000000e+00	0.000000e+00
5.429102871507735e-10	9.365980e-02	2.714551e-01	0.000000e+00	0.000000e+00
8.492967850820280e-10	1.614658e-01	4.246484e-01	0.000000e+00	0.000000e+00
1.203242225420207e-09	2.902678e-01	6.016211e-01	0.000000e+00	0.000000e+00
1.551070218417060e-09	4.602109e-01	7.755351e-01	0.000000e+00	0.000000e+00
1.861333431474923e-09	6.171963e-01	9.306667e-01	0.000000e+00	0.000000e+00
2.260312636039318e-09	8.179649e-01	1.130156e+00	0.000000e+00	0.000000e+00
3.058271045168107e-09	1.219096e+00	1.529135e+00	0.000000e+00	0.000000e+00
4.654187863425687e-09	2.019910e+00	2.327094e+00	0.000000e+00	0.000000e+00
7.846021499940845e-09	3.618466e+00	3.923011e+00	0.000000e+00	0.000000e+00
1.000000000000000e-08	4.695742e+00	5.000000e+00	0.000000e+00	0.000000e+00
1.116929979130977e-08	4.824654e+00	5.000000e+00	0.000000e+00	0.000000e+00
1.174059834268002e-08	4.799689e+00	5.000000e+00	0.000000e+00	0.000000e+00
1.227075938829108e-08	4.784680e+00	5.000000e+00	0.000000e+00	0.000000e+00
1.280175931510573e-08	4.773324e+00	5.000000e+00	0.000000e+00	0.000000e+00
1.358226119607452e-08	4.767118e+00	5.000000e+00	0.000000e+00	0.000000e+00
1.431334820993710e-08	4.763976e+00	5.000000e+00	0.000000e+00	0.000000e+00
1.534283493346169e-08	4.764040e+00	5.000000e+00	0.000000e+00	0.000000e+00
1.636876884906805e-08	4.763129e+00	5.000000e+00	0.000000e+00	0.000000e+00
1.790754648727939e-08	4.763897e+00	5.000000e+00	0.000000e+00	0.000000e+00
1.967510412210322e-08	4.763129e+00	5.000000e+00	0.000000e+00	0.000000e+00
2.219838219525062e-08	4.763884e+00	5.000000e+00	0.000000e+00	0.000000e+00
2.598851516078554e-08	4.763134e+00	5.000000e+00	0.000000e+00	0.000000e+00
3.198658001682875e-08	4.763875e+00	5.000000e+00	0.000000e+00	0.000000e+00
4.301995663461673e-08	4.763132e+00	5.000000e+00	0.000000e+00	0.000000e+00
6.508670987019269e-08	4.763864e+00	5.000000e+00	0.000000e+00	0.000000e+00
1.092202163413446e-07	4.763129e+00	5.000000e+00	0.000000e+00	0.000000e+00
1.974872292836485e-07	4.763862e+00	5.000000e+00	0.000000e+00	0.000000e+00
3.740212551682562e-07	4.763128e+00	5.000000e+00	0.000000e+00	0.000000e+00
7.270893069374716e-07	4.763862e+00	5.000000e+00	0.000000e+00	0.000000e+00
1.433225410475902e-06	4.763128e+00	5.000000e+00	0.000000e+00	0.000000e+00
2.845497617552764e-06	4.763862e+00	5.000000e+00	0.000000e+00	0.000000e+00
5.670042031706487e-06	4.763128e+00	5.000000e+00	0.000000e+00	0.000000e+00
1.131913086001393e-05	4.763862e+00	5.000000e+00	0.000000e+00	0.000000e+00
2.261730851662883e-05	4.763128e+00	5.000000e+00	0.000000e+00	0.000000e+00
4.214855851662882e-05	4.763867e+00	5.000000e+00	0.000000e+00	0.000000e+00
6.167980851662883e-05	4.763138e+00	5.000000e+00	0.000000e+00	0.000000e+00
8.121105851662883e-05	4.763875e+00	5.000000e+00	0.000000e+00	0.000000e+00
1.007423085166288e-04	4.763138e+00	5.000000e+00	0.000000e+00	0.000000e+00
1.202735585166288e-04	4.763875e+00	5.000000e+00	0.000000e+00	0.000000e+00
1.398048085166288e-04	4.763138e+00	5.000000e+00	0.000000e+00	0.000000e+00
1.593360585166288e-04	4.763875e+00	5.000000e+00	0.000000e+00	0.000000e+00
1.788673085166288e-04	4.763138e+00	5.000000e+00	0.000000e+00	0.000000e+00
1.983985585166288e-04	4.763875e+00	5.000000e+00	0.000000e+00	0.000000e+00
2.179298085166288e-04	4.763138e+00	5.000000e+00	0.000000e+00	0.000000e+00
2.374610585166288e-04	4.763875e+00	5.000000e+00	0.000000e+00	0.000000e+00
2.569923085166288e-04	4.763138e+00	5.000000e+00	0.000000e+00	0.000000e+00
2.765235585166288e-04	4.763875e+00	5.000000e+00	0.000000e+00	0.000000e+00
2.960548085166288e-04	4.763138e+00	5.000000e+00	0.000000e+00	0.000000e+00
3.155860585166288e-04	4.763875e+00	5.000000e+00	0.000000e+00	0.000000e+00
3.351173085166289e-04	4.763138e+00	5.000000e+00	0.000000e+00	0.000000e+00
3.546485585166289e-04	4.763875e+00	5.000000e+00	0.000000e+00	0.000000e+00
3.741798085166289e-04	4.763138e+00	5.000000e+00	0.000000e+00	0.000000e+00
3.937110585166289e-04	4.763875e+00	5.000000e+00	0.000000e+00	0.000000e+00
4.132423085166289e-04	4.763138e+00	5.000000e+00	0.000000e+00	0.000000e+00
4.327735585166290e-04	4.763875e+00	5.000000e+00	0.000000e+00	0.000000e+00
4.523048085166290e-04	4.763138e+00	5.000000e+00	0.000000e+00	0.000000e+00
4.718360585166290e-04	4.763875e+00	5.000000e+00	0.000000e+00	0.000000e+00
4.913673085166290e-04	4.763138e+00	5.000000e+00	0.000000e+00	0.000000e+00
5.108985585166290e-04	4.763875e+00	5.000000e+00	0.000000e+00	0.000000e+00
5.304298085166290e-04	4.763138e+00	5.000000e+00	0.000000e+00	0.000000e+00
5.499610585166290e-04	4.763875e+00	5.000000e+00	0.000000e+00	0.000000e+00
5.694923085166290e-04	4.763138e+00	5.000000e+00	0.000000e+00	0.000000e+00
5.890235585166290e-04	4.763875e+00	5.000000e+00	0.000000e+00	0.000000e+00
6.085548085166291e-04	4.763138e+00	5.000000e+00	0.000000e+00	0.000000e+00
6.280860585166291e-04	4.763875e+00	5.000000e+00	0.000000e+00	0.000000e+00
6.476173085166291e-04	4.763138e+00	5.000000e+00	0.000000e+00	0.000000e+00
6.671485585166291e-04	4.763875e+00	5.000000e+00	0.000000e+00	0.000000e+00
6.866798085166291e-04	4.763138e+00	5.000000e+00	0.000000e+00	0.000000e+00
7.062110585166291e-04	4.763875e+00	5.000000e+00	0.000000e+00	0.000000e+00
7.257423085166292e-04	4.763138e+00	5.000000e+00	0.000000e+00	0.000000e+00
7.452735585166292e-04	4.763875e+00	5.000000e+00	0.000000e+00	0.000000e+00
7.648048085166292e-04	4.763138e+00	5.000000e+00	0.000000e+00	0.000000e+00
7.843360585166292e-04	4.763875e+00	5.000000e+00	0.000000e+00	0.000000e+00
8.038673085166292e-04	4.763138e+00	5.000000e+00	0.000000e+00	0.000000e+00
8.233985585166292e-04	4.763875e+00	5.000000e+00	0.000000e+00	0.000000e+00
8.429298085166293e-04	4.763138e+00	5.000000e+00	0.000000e+00	0.000000e+00
8.624610585166293e-04	4.763875e+00	5.000000e+00	0.000000e+00	0.000000e+00
8.819923085166293e-04	4.763138e+00	5.000000e+00	0.000000e+00	0.000000e+00
9.015235585166293e-04	4.763875e+00	5.000000e+00	0.000000e+00	0.000000e+00
9.210548085166293e-04	4.763138e+00	5.000000e+00	0.000000e+00	0.000000e+00
9.405860585166294e-04	4.763875e+00	5.000000e+00	0.000000e+00	0.000000e+00
9.601173085166294e-04	4.763138e+00	5.000000e+00	0.000000e+00	0.000000e+00
9.796485585166293e-04	4.763875e+00	5.000000e+00	0.000000e+00	0.000000e+00
9.991798085166293e-04	4.763138e+00	5.000000e+00	0.000000e+00	0.000000e+00
1.000000000000000e-03	4.763755e+00	5.000000e+00	0.000000e+00	0.000000e+00
1.000010000000000e-03	5.970728e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.000010103199343e-03	5.963603e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.000010309598029e-03	5.948843e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.000010722395400e-03	5.919420e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.000011448774632e-03	5.868344e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.000012901533096e-03	5.768414e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.000015807050023e-03	5.577563e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.000021618083877e-03	5.229200e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.000026989446594e-03	4.945884e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.000029949847500e-03	4.826949e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.000032230583592e-03	4.789756e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.000034868212633e-03	4.788188e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.000036803111059e-03	4.788559e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.000039161118488e-03	4.788476e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.000043877133347e-03	4.788542e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.000053309163064e-03	4.788486e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.000071106305473e-03	4.788538e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.000106700590291e-03	4.788488e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.000177889159927e-03	4.788537e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.000320266299199e-03	4.788489e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.000605020577744e-03	4.788537e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.001174529134833e-03	4.788489e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.002313546249011e-03	4.788537e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.004591580477367e-03	4.788489e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.009147648934080e-03	4.788537e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.018259785847505e-03	4.788489e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.036484059674354e-03	4.788537e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.056015309674355e-03	4.788492e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.075546559674355e-03	4.788539e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.095077809674355e-03	4.788492e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.114609059674355e-03	4.788539e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.134140309674355e-03	4.788492e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.153671559674355e-03	4.788539e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.173202809674355e-03	4.788492e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.192734059674355e-03	4.788539e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.212265309674355e-03	4.788492e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.231796559674355e-03	4.788539e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.251327809674355e-03	4.788492e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.270859059674355e-03	4.788539e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.290390309674355e-03	4.788492e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.309921559674355e-03	4.788539e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.329452809674355e-03	4.788492e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.348984059674355e-03	4.788539e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.368515309674355e-03	4.788492e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.388046559674355e-03	4.788539e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.407577809674355e-03	4.788492e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.427109059674355e-03	4.788539e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.446640309674355e-03	4.788492e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.466171559674355e-03	4.788539e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.485702809674355e-03	4.788492e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.500010000000000e-03	4.788540e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.500020000000000e-03	4.788495e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.500179999999999e-03	4.788540e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.500499999999997e-03	4.788490e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.501139999999993e-03	4.788535e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.502419999999986e-03	4.788490e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.504979999999970e-03	4.788535e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.510099999999940e-03	4.788490e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.520339999999879e-03	4.788535e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.539871249999879e-03	4.788491e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.559402499999879e-03	4.788538e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.578933749999879e-03	4.788494e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.598464999999879e-03	4.788538e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.617996249999879e-03	4.788494e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.637527499999879e-03	4.788538e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.657058749999879e-03	4.788494e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.676589999999879e-03	4.788538e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.696121249999879e-03	4.788494e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.715652499999879e-03	4.788538e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.735183749999879e-03	4.788494e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.754714999999879e-03	4.788538e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.774246249999879e-03	4.788494e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.793777499999879e-03	4.788538e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.813308749999879e-03	4.788494e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.832839999999880e-03	4.788538e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.852371249999880e-03	4.788494e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.871902499999880e-03	4.788538e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.891433749999880e-03	4.788494e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.910964999999880e-03	4.788538e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.930496249999880e-03	4.788494e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.950027499999880e-03	4.788538e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.969558749999880e-03	4.788494e+00	5.000000e+00	5.000000e+00	0.000000e+00
1.989089999999880e-03	4.788538e+00	5.000000e+00	5.000000e+00	0.000000e+00
2.008621249999880e-03	4.788494e+00	5.000000e+00	5.000000e+00	0.000000e+00
2.028152499999880e-03	4.788538e+00	5.000000e+00	5.000000e+00	0.000000e+00
2.047683749999880e-03	4.788494e+00	5.000000e+00	5.000000e+00	0.000000e+00
2.067214999999880e-03	4.788538e+00	5.000000e+00	5.000000e+00	0.000000e+00
2.086746249999880e-03	4.788494e+00	5.000000e+00	5.000000e+00	0.000000e+00
2.106277499999880e-03	4.788538e+00	5.000000e+00	5.000000e+00	0.000000e+00
2.125808749999880e-03	4.788494e+00	5.000000e+00	5.000000e+00	0.000000e+00
2.145339999999880e-03	4.788538e+00	5.000000e+00	5.000000e+00	0.000000e+00
2.164871249999880e-03	4.788494e+00	5.000000e+00	5.000000e+00	0.000000e+00
2.184402499999880e-03	4.788538e+00	5.000000e+00	5.000000e+00	0.000000e+00
